id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
861,2017-06-20,Incompatible with owner lifestyle,0,R1706545,0A21094575,Cuddles,American,White and Brown,House Rabbit,2.2,Female,Lobby,2017-08-02,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
862,2017-06-20,Incompatible with owner lifestyle,0,R1706546,0A82785410,Albert,Lionhead,Tan,House Rabbit,2.2,Male,Lobby,2017-08-02,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
863,2017-06-20,Stray,0,C1706548,981020021477364,Turtle,Domestic Short Hair,Tortie,Cat,1.5,Female,Adoptable Cat Kennels,2017-07-01,Foster,0.0,Stray,Court Order/ Legal,0,0,0
864,2017-06-20,Stray,0,D1706549,981020021072842,Tortoise,Basset Hound/Labrador Retriever,Tricolour,Dog,2.5,Male,Adoptable Dogs,2017-06-30,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
865,2017-06-21,Transfer from Other Shelter,0,D1706547,981020021020835,Neena,Pitbull,Red and White,Dog,2.5,Female,Adoptable Dogs,2017-07-17,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
866,2017-06-21,Stray,0,D1706551,981020021787574,Buster Rhymes,Italian Greyhound/Whippet,Red,Dog,8.3,Male,Stray Dogs Theta,2017-06-21,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
867,2017-06-21,Stray,0,D1706552,981020021006753,Dribbler,Labrador Retriever/Mix,Tan,Dog,3.8,Male,Adoptable Dogs,2017-08-17,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
868,2017-06-21,Litter relinquishment,0,C1706549,981020021063927,Megan,Domestic Short Hair,Black and Brown,Cat,2.4,Female,Adoptable Cat Big Colony,2017-08-04,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
869,2017-06-21,Litter relinquishment,0,C1706550,981020021054159,Mindy,Domestic Short Hair,Black,Cat,1.5,Female,Adoptable Cat Kennels,2017-07-29,Adoption,0.0,Incompatible with owner lifestyle,Court Order/ Legal,0,0,0
870,2017-06-21,Litter relinquishment,0,C1706551,981020021052143,Maura,Domestic Short Hair,Torbie,Cat,1.5,Female,Lobby,2017-07-28,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
871,2017-06-21,Litter relinquishment,0,C1706552,981020021067591,Macon,Domestic Short Hair,Black and Brown,Cat,1.5,Male,Lobby,2017-07-28,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
872,2017-06-21,Stray,0,D1706553,981020017691595,Bo,Treeing Walker Coonhound,Tricolour,Dog,4.8,Male,Dog room C,2018-05-27,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
873,2017-06-22,Stray,0,D1706555,981020021064345,Malcom,Bully Breed Mix,Black and White,Dog,2.8,Male,Special Care Dogs,2017-07-29,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
874,2017-06-22,Litter relinquishment,0,C1706553,981020021791130,Karma,Domestic Short Hair,Black and Brown,Cat,1.6,Female,Lobby,2017-06-28,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
875,2017-06-22,Stray,0,C1706087,0A16397296,Lainie,Domestic Short Hair,Grey,Cat,12.4,Female,Stray Cats,2017-07-06,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
876,2017-06-22,Litter relinquishment,0,C1706555,981020021793486,Kinser,Domestic Short Hair,Grey,Cat,1.6,Male,Lobby,2017-06-28,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
877,2017-06-22,Litter relinquishment,0,C1706556,981020021814443,Karina,Domestic Short Hair,Black and Brown,Cat,1.6,Female,Lobby,2017-06-28,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
878,2017-06-22,Litter relinquishment,0,C1706557,981020021801090,Kiki,Domestic Short Hair,Black and Brown,Cat,1.6,Female,Office,2017-07-30,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
879,2017-06-22,Litter relinquishment,0,C1706558,981020021796003,Kendal,Domestic Short Hair,Black and Brown,Cat,1.6,Female,Lobby,2017-06-29,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
880,2017-06-22,Litter relinquishment,0,C1706559,981020021792950,Kimberly,Domestic Short Hair,Black,Cat,1.6,Female,Adoptable Cat Kennels,2017-07-15,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
881,2017-06-22,Stray,0,C1706560,981020013522974,Lewis,Domestic Short Hair,Black and grey,Cat,4.3,Male,Stray Cats,2017-06-23,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
882,2017-06-23,Stray,0,C1706561,981020021044648,Daizy,Domestic Short Hair,White and Black,Cat,2.9,Female,Lobby,2017-06-30,Foster,0.0,Stray,Court Order/ Legal,0,0,0
883,2017-06-23,Litter relinquishment,0,C1706562,981020021796735,Kaleidoscope,Domestic Short Hair,Grey,Cat,1.6,Female,Special Care Cats,2017-08-10,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
884,2017-06-23,Stray,0,D1706562,0A10919970,Amos,Walker Hound,Tricolour,Dog,14.3,Male,Stray Dogs Beta,2017-06-24,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
